Num of Sent,Total Words,Nouns,Verbs ,Adj,Adv,Allcon,ExptempCon,IntVerbs,CausalVerbs,NounPhraseDens,VerbPhraseDens,AdvPhraseDens,PrepPhraseDens,AgtlessPassVoiceDens,TextEasaPCWdConc,TextEasaPCRfCoh,TextEasaPCdpCoh,TextEasaPCCon,TextEasaPCTemp,ContWdOvlpAdjSent,ArgOvrlapAllsent ,ContWdOvlpAllSent,LSAOvlpAdjSent,LSASentAll,LexdivContWd,Lexdivallword,RintPartIntVbs,RCasPartCausalVbs,LeftEmbWdsBefMainVrb,NumModPerNounPhrase,SentSyntSimAdjSent,SenSynSimAllComb,CWdFreqContWds,FamContWds,ConContWds,ImagContWds,MeaningContWds,PolyContWds,MnSentLen,SentlenStanDev,WdlenNumofSyll,WdlenNumofSyllSD,FeschRd,LIWCWds>6 let ,Total Function Words,Total Pronouns ,Personal Pronouns,LIWC1stpersing,LIWC1stpersplur,LIWC2ndper ,LIWC3rdpersing,LIWC3rdpersplur,LIWCImperspron,LIWCArt,ÿLIWCComVbs ,ÿLIWCAuxVbs ,LIWCPasttenseVbs ,LIWCPrestensVbs ,LIWCFuttensVbs,LIWCPrep ,LIWCConj,LIWCNeg,ÿLIWCQuant,LIWCNum,LIWCAffectProc,LIWCPosEmot,LIWCNegEmot,LIWCCogMech,LIWCInsight,LIWCCausal,LIWCDiscrep,LIWCTent,LIWCCertain,LIWCInhibit,LIWCIncl,LIWCExcl,LIWCPercProc,LIWCRelativity,LIWCNegWdsLM ,LIWCPosWrdsLM,LIWCModWdsStrongLM,LIWCModWrdsWeakLM,LIWCUncertLM,LIWCModalVrbsLM,LIWCPassVbsLM,class
640,10965,387.92,99.78,91.85,24.96,70.5,19.14,11.46,24.42,389.71,135.81,18.67,145.24,10.67,-0.1,-1.02,-0.18,-0.97,0.07,0.07,0.34,0.07,0.21,0.22,0.54,0.36,1.79,0.29,3.85,1.29,0.08,0.07,1.91,552.4,380,408.86,438.06,3.6,17.93,12.09,1.8,1.03,36.2,34.68,38.67,4.02,1.97,0.14,1.62,0.03,0.05,0.15,2.04,7.61,4.48,3.33,1.51,2.41,0.28,16.13,4.18,0.13,2.08,5.72,5.25,4.26,0.96,11.6,1.13,2.82,0.37,0.54,0.85,0.7,5.15,0.29,0.44,15.45,0.71,1.73,0.21,0.09,0.82,0.35,0.43,N
651,11831,370.98,98.67,80.55,23.02,63.42,19.05,11.07,26.42,396.61,128.39,15.24,160.89,7.48,-0.1,-0.67,-0.1,0.01,0.01,0.09,0.37,0.06,0.22,0.24,0.51,0.33,1.98,0.36,4.24,1.29,0.09,0.08,1.95,557.18,376.64,411.58,444.04,3.5,18.04,12.38,1.73,0.99,42.17,32.79,40.39,4.05,1.5,0.08,1.08,0.02,0.05,0.27,2.55,7.69,4.5,3.5,1.9,1.89,0.42,17.5,3.5,0.1,2.41,7.95,4.88,4.15,0.71,9.34,0.67,2.24,0.25,0.53,1.03,0.41,3.98,0.31,0.34,16.25,1.01,2.13,0.39,0.14,0.49,0.6,0.62,N
718,15112,344.84,95.04,91.67,30.52,80.18,13.03,13.26,23.95,394.3,134.67,19.02,142.82,8.42,-0.31,-0.02,-0.48,-1.74,-0.51,0.14,0.47,0.07,0.29,0.31,0.52,0.33,1.39,0.3,4.96,1.25,0.09,0.08,1.89,554.94,381.85,400.92,422.17,3.3,21.49,12.81,1.84,1.05,29.7,35.74,39.76,4.9,2.97,0,2.68,0.03,0.01,0.25,1.92,6.31,4.8,3.77,1.27,2.63,0.46,15.14,5.6,0.25,3.34,7.44,3.13,2.37,0.67,14.59,1.85,2.93,0.55,1.23,0.81,0.61,6.72,0.7,0.76,13.85,1.15,1.4,0.4,0.17,0.68,0.79,0.53,F
623,13156,338.5,94.39,94.15,31.3,86.27,14.22,14.15,23.59,392.32,125.07,20.13,140.6,7.48,-0.33,0.12,-0.36,-1.87,-0.37,0.14,0.5,0.08,0.28,0.27,0.5,0.32,1.43,0.4,5.24,1.3,0.1,0.08,1.87,549.9,383.51,399.66,419.37,3.27,22.23,12.8,1.85,1.05,28.18,36.51,40.17,5.36,3.36,0.03,2.99,0.11,0,0.24,2,6.69,5.02,3.73,1.49,2.89,0.4,14.88,5.74,0.29,3.48,7.34,3.52,2.54,0.94,15.63,2.27,3.13,0.55,1.27,0.75,0.51,7.05,0.68,0.66,13.37,1.55,1.39,0.36,0.12,0.71,0.73,0.34,F
475,11274,348.37,96.35,101.94,31.12,92.99,16.64,7.39,22.41,380.4,141.74,18.72,127.07,7.98,-0.24,0.34,0.06,-2.74,-0.46,0.13,0.63,0.09,0.28,0.28,0.52,0.34,2.18,0.48,6.21,1.27,0.09,0.08,1.96,559.27,378.94,394.09,412.08,3.61,24.7,14.51,1.86,1.09,24.38,38.37,41.37,4.58,1.33,0.09,1,0,0,0.24,3.25,7.81,5.73,4.24,1.23,3,0.78,14.39,7.22,0.39,2.87,4.41,3.7,2.41,1.23,16.78,1.88,4.12,0.83,2.01,0.78,0.51,6.69,1.26,0.45,14.09,1.88,1.44,0.44,0.62,1.57,1.28,0.59,N
578,13048,343.83,98.98,105.21,28.99,96.59,19,10.82,22.29,387,146.52,16.29,128.37,7.26,-0.32,0.23,-0.1,-2.78,-0.43,0.14,0.56,0.09,0.29,0.29,0.52,0.33,1.59,0.45,5.72,1.26,0.09,0.08,1.93,556.08,375.8,392.54,415.58,3.51,23.51,12.99,1.88,1.1,23.57,37.74,40.16,6.01,3.64,0.09,3.33,0.03,0,0.19,2.36,5.67,5.38,3.8,1.37,2.89,0.63,14.38,7.26,0.45,2.73,4.65,3.85,2.64,1.11,17.59,2.08,3.85,0.74,1.65,0.79,0.45,7.95,1.07,0.65,14.25,1.3,1.63,0.32,0.61,1.4,1.12,0.42,N
832,19099,367.19,101.74,100.45,26.99,83.06,22.07,13.35,24.59,384.49,141.84,15.31,132.72,8.28,-0.38,0.71,-0.02,-1.62,-0.56,0.17,0.6,0.1,0.33,0.31,0.47,0.31,1.58,0.25,5.37,1.36,0.09,0.08,1.84,551.46,371.3,394.33,413.55,3.5,23.23,14.54,1.83,1.11,28.32,36.34,38.21,2.81,0.33,0,0.08,0.01,0.01,0.22,2.49,8.42,4.82,3.55,1.29,2.29,0.72,15.14,5.42,0.44,1.8,4.8,2.64,2.13,0.51,12.25,1.41,2.24,0.69,1.44,0.62,0.5,5.27,0.88,0.51,14.61,0.76,0.74,0.46,0.3,1.12,1.02,0.55,F
509,10288,367.51,92.93,101.11,24.65,81.29,16.77,15.26,26.16,402.83,120.71,14.79,149.55,9.39,-0.46,0.25,-0.17,-1.34,0.08,0.15,0.51,0.09,0.31,0.29,0.45,0.3,1.38,0.26,4.27,1.36,0.08,0.07,1.86,551.23,378.31,398.66,416.52,3.55,20.41,13.01,1.86,1.08,29.05,36.45,37.37,3.16,1.27,0.01,1.15,0.02,0,0.1,1.89,7.12,3.73,2.91,1.46,1.65,0.33,16.11,5.1,0.27,2.69,7.23,2.78,2.17,0.59,12.12,1.57,2.42,0.45,0.87,0.88,0.26,5.72,0.5,0.5,14.98,0.92,0.89,0.15,0.06,0.73,0.49,0.41,F
968,21846,354.27,92.26,91.81,24.04,80.17,17.09,15.51,25.39,398.69,131.11,12.79,147.38,8.64,-0.36,0.55,-0.13,-1.48,-0.91,0.16,0.56,0.09,0.32,0.3,0.46,0.29,1.41,0.3,5.01,1.29,0.09,0.08,1.86,551.29,377.09,399.07,421.29,3.39,22.79,11.42,1.87,1.11,25.74,36.2,40.3,5.57,2.93,0.01,2.64,0.05,0,0.23,2.64,7.02,4.26,3.41,1.27,1.78,0.76,15.97,5.22,0.44,2.1,6.5,3.3,2.77,0.5,14.01,1.78,2.2,0.65,1.55,0.83,0.76,6.16,0.93,0.23,14.29,0.79,0.67,0.43,0.2,1.07,1.03,0.64,N
1042,23737,362.77,87.45,94.65,24.94,85.06,15.36,13.8,24.4,405.44,119.39,13.08,144.95,8.99,-0.37,0.46,-0.17,-1.8,-0.59,0.16,0.54,0.09,0.31,0.31,0.46,0.3,1.54,0.28,5.53,1.31,0.1,0.09,1.85,551.24,375.69,397.63,419.84,3.31,23.38,12.57,1.87,1.1,24.78,36.01,39.15,4.32,2.13,0.01,1.93,0.01,0,0.18,2.19,7.2,4.12,3.18,1.33,1.96,0.49,15.46,5.51,0.45,2.37,7.22,2.68,2.29,0.37,12.99,1.53,2.02,0.42,1.61,0.73,0.64,6,1.03,0.3,14.73,0.62,0.67,0.29,0.24,0.93,0.7,0.48,N
863,21211,353.73,112.34,89.61,25.61,79.46,16.95,10.88,23.67,389.14,152.08,13.18,137.2,10.3,-0.48,0.71,-0.32,-1.91,-0.42,0.17,0.55,0.11,0.33,0.3,0.44,0.28,1.36,0.45,5.96,1.39,0.09,0.07,1.9,555.81,373.6,392.89,415.01,3.3,24.8,15.42,1.88,1.11,22.51,38.43,39.98,3.07,0.21,0,0,0,0,0.21,2.86,8.76,6.06,4.16,2.61,1.79,0.95,15.14,5.77,0.56,2.05,5.65,3.96,2.82,1.13,15.19,1.79,3.63,0.95,2.36,0.78,0.64,5.15,1.41,0.32,13,1.39,1.25,0.54,0.63,1.76,1.49,0.73,F
944,23914,331.54,108.45,97.18,25.85,83.29,15.83,11.71,22.27,389.9,151.87,13.56,133.45,9.26,-0.44,1.11,-0.39,-2.28,-0.18,0.19,0.64,0.12,0.35,0.36,0.43,0.28,1.2,0.44,6.08,1.31,0.09,0.08,1.87,551.37,376.58,394.14,414.67,3.31,25.49,13.46,1.9,1.1,20.33,38.3,41.24,5.24,2.42,0,2.12,0.01,0,0.29,2.82,7.63,5.54,3.93,2.15,1.83,0.84,15.09,6.26,0.51,2.22,5.56,3.7,2.49,1.21,16.68,1.63,3.59,1.1,2.66,0.66,0.97,6.09,1.74,0.31,12.56,1.68,1.27,0.27,0.77,1.68,1.34,0.66,F
507,11011,348.02,96.55,106.57,33.03,91.63,11.76,11.97,23.45,390.05,154.26,21.9,126.52,7.94,-0.55,0.15,0.12,-2.62,-0.38,0.14,0.54,0.08,0.3,0.31,0.51,0.34,0.62,1.31,4.54,1.23,0.09,0.08,1.9,555.45,374.05,391.62,409.04,3.51,21.72,12.33,1.9,1.08,24.17,38.85,41.75,5.94,3.13,0.01,2.82,0.01,0,0.29,2.81,6.16,6.33,4.93,1.04,3.35,0.9,14.76,6.83,0.53,2.76,3.09,3.82,2.25,1.54,18.4,1.78,4.29,1.29,2.46,0.83,0.8,7.18,1.46,0.71,13.23,1.49,1.14,0.45,0.94,2.16,1.64,0.81,N
746,16649,339.85,96.42,114.56,31.29,93.51,11.65,12.72,24.64,389.8,148.47,20.24,137.66,8.54,-0.59,0.31,57.62,-2.51,-0.46,0.15,0.51,0.09,0.32,0.33,0.47,0.31,0.64,1.28,5.54,1.24,0.09,0.08,1.86,553.09,374.51,390.52,408.23,3.47,22.32,11.62,1.89,1.08,24.01,39.1,41.75,5.27,2.74,0.01,2.56,0.01,0,0.16,2.53,6.55,5.93,4.55,1.5,2.81,0.7,15.36,6.85,0.44,2.44,4.02,2.52,1.54,0.34,2.28,3.83,1.11,2.32,0.94,0.74,7.13,1.51,0.55,0.55,12.38,2.14,1.06,0.32,0.87,2.11,1.33,0.79,N
442,11463,354.17,89.23,98.54,24.26,8.99,14.62,7.5,24.45,409.87,110.71,13.43,150.51,6.18,0.32,0.81,-0.56,-1.92,-0.2,0.15,0.59,0.1,0.31,0.35,0.44,0.3,2.03,0.25,5.72,1.32,0.09,0.09,1.8,551.69,395.66,419.3,427.41,3.15,25.57,17.28,1.83,1.06,26.08,36.35,39.43,2.27,0.04,0.03,0,0,0,0.02,2.23,9.35,3.15,2.34,1.04,1.89,0.12,16.24,5.58,0.19,1.99,8.11,2.71,2.17,0.54,12.84,1.36,2.48,0.22,0.99,0.46,0.56,6.28,0.78,0.4,12.09,0.66,1.21,0.06,0.09,0.88,0.27,0.18,F
488,12501,343.29,89.88,96.13,21.55,84.85,16.17,7.41,24.52,410.5,108.29,12.32,147.87,6.44,0.3,0.86,-0.51,-2.33,-0.32,0.16,0.58,0.11,0.33,0.34,0.41,0.26,2.27,0.24,5.88,1.34,0.09,0.09,1.79,551.99,393.54,415.95,427.68,3.05,3.34,2.44,26.03,16.88,27.98,35.53,39.75,2.34,0.06,0.02,0,0,0,0.04,2.28,8.74,3.4,2.56,1.09,1.84,0.24,15.93,6.25,0.19,1.96,9.35,3.1,2.35,0.75,13.42,1.51,2.43,0.31,1.21,0.48,0.48,6.59,0.98,0.5,11.97,0.92,1.2,0.15,0.09,0.97,0.42,0.3,F
483,9912,341.98,101.76,96.25,27.35,81.86,22.01,7.93,28.04,385.22,144.69,15.65,129.67,8.57,0.06,0.61,37.63,-2.06,0.15,0.17,0.55,0.17,0.32,0.33,0.47,0.3,2.37,0.22,5.23,1.35,0.1,0.08,1.85,555.05,391.45,407.8,427.45,3.28,21.15,13.48,1.81,1.03,32.49,36.84,39.18,3.04,0.19,0.05,0.02,0,0,0.12,2.85,8.71,6.14,3.53,1.65,3.64,0.55,14.75,5.75,0.29,1.65,7.05,2.8,2.07,0.73,14.6,1.31,3.6,0.47,2.56,0.62,0.51,5.64,0.9,0.77,12.64,0.66,1.42,0.3,0.2,0.87,0.81,0.45,N
493,9198,327.01,91.05,101.62,27.09,53.85,24.62,13.64,24.98,396.42,137.4,16.38,133.71,7.07,-0.01,0.43,-0.25,-1.84,0.24,0.18,0.54,0.11,0.3,0.31,0.47,0.3,0.18,2.55,4.25,1.29,0.1,0.09,1.81,554.92,393.79,413.22,431.1,3.05,19.82,11.41,1.8,1.02,34.3,34.39,40.16,7.2,5.36,0,5.23,0,0,0.13,1.84,6.21,6.01,3.11,1.72,3.75,0.32,14.42,5.76,0.21,2.26,7.25,2.49,1.86,0.63,15.91,1.21,3.17,0.32,2.6,0.58,0.56,7.51,0.7,0.84,12.39,0.45,1.52,0.21,0.17,0.83,0.59,0.34,N
