Num of Sent,Total Words,Nouns,Verbs ,Adj,Adv,Allcon,ExptempCon,IntVerbs,CausalVerbs,NounPhraseDens,VerbPhraseDens,AdvPhraseDens,PrepPhraseDens,AgtlessPassVoiceDens,TextEasaPCWdConc,TextEasaPCRfCoh,TextEasaPCdpCoh,TextEasaPCCon,TextEasaPCTemp,ContWdOvlpAdjSent,ArgOvrlapAllsent ,ContWdOvlpAllSent,LSAOvlpAdjSent,LSASentAll,LexdivContWd,Lexdivallword,RintPartIntVbs,RCasPartCausalVbs,LeftEmbWdsBefMainVrb,NumModPerNounPhrase,SentSyntSimAdjSent,SenSynSimAllComb,CWdFreqContWds,FamContWds,ConContWds,ImagContWds,MeaningContWds,PolyContWds,MnSentLen,SentlenStanDev,WdlenNumofSyll,WdlenNumofSyllSD,FeschRd,LIWCWds>6 let ,Total Function Words,Total Pronouns ,Personal Pronouns,LIWC1stpersing,LIWC1stpersplur,LIWC2ndper ,LIWC3rdpersing,LIWC3rdpersplur,LIWCImperspron,LIWCArt,ÿLIWCComVbs ,ÿLIWCAuxVbs ,LIWCPasttenseVbs ,LIWCPrestensVbs ,LIWCFuttensVbs,LIWCPrep ,LIWCConj,LIWCNeg,ÿLIWCQuant,LIWCNum,LIWCAffectProc,LIWCPosEmot,LIWCNegEmot,LIWCCogMech,LIWCInsight,LIWCCausal,LIWCDiscrep,LIWCTent,LIWCCertain,LIWCInhibit,LIWCIncl,LIWCExcl,LIWCPercProc,LIWCRelativity,LIWCNegWdsLM ,LIWCPosWrdsLM,LIWCModWdsStrongLM,LIWCModWrdsWeakLM,LIWCUncertLM,LIWCModalVrbsLM,LIWCPassVbsLM,class
1361,26241,359.02,101.43,100.49,27.66,83.59,23.11,12.78,25.84,390.36,135.07,17.31,139.98,11.92,-0.42,-0.22,0.13,-1.86,0.06,0.12,0.44,0.07,0.28,0.28,0.47,0.3,1.59,0.36,4.52,1.29,0.09,0.07,1.88,551.58,384.8,405.47,417.79,3.32,19.37,12.14,1.84,1.06,31.25,36.93,40.54,3.83,0.97,0.02,0.71,0,0.01,0.23,2.87,8.26,4.69,3.74,1.77,2.05,0.52,15.23,5.68,0.25,2.97,6.38,3.52,2.71,0.8,13.52,1.66,2.47,0.52,1.51,0.93,0.49,5.65,0.86,0.39,13.68,1.59,1.1,0.3,0.38,1.05,0.82,0.49,N
1419,27389,362.77,101.49,101.3,27.49,82.2,23.25,11.59,25.44,395.95,130.03,17.51,142.06,9.47,-0.4,-0.18,-0.07,-1.82,0.28,0.12,0.45,0.08,0.27,0.28,0.47,0.31,1.66,0.3,4.37,1.27,0.09,0.07,1.88,552.22,385.69,406.08,418.98,3.26,19.39,11.47,1.85,1.08,30.49,37.47,39.79,3.05,0.43,0.01,0.17,0,0,0.25,2.62,8.38,4.46,3.5,1.69,1.98,0.49,15.36,5.7,0.23,3.08,6.58,3.64,2.92,0.72,13.24,1.71,2.42,0.44,1.36,0.8,0.51,5.83,0.77,0.36,13.75,1.43,1.26,0.27,0.38,0.86,0.77,0.49,N
1160,28654,350.05,91.42,104.14,23.44,90.27,19.55,14.06,22.42,389.49,135.97,14.97,140.39,10.22,-0.15,0.61,0.07,-2,-0.49,0.16,0.59,0.09,0.33,0.33,0.44,0.29,1.81,0.26,5.49,1.34,0.09,0.08,1.83,547.02,381.79,402.8,422.15,3.4,24.95,15.02,1.86,1.1,23.98,29.67,40.55,5.07,2.51,0,2.27,0,0,0.24,2.56,7.39,4.39,3.37,1.26,2.07,0.58,15.72,6.06,0.31,2.22,5.53,2.51,1.86,0.63,13.91,1.38,2.29,0.54,1.42,0.66,0.62,6.7,1.09,0.44,12.83,1.17,0.78,0.41,0.24,0.85,0.76,0.63,F
1262,30005,336.36,93.01,101.99,24.7,96.92,22.71,12.42,21.8,400.78,130.61,15.09,149.07,10.91,-0.35,0.64,0.6,-2.09,-0.43,0.18,0.57,0.1,0.35,0.35,0.45,0.29,2.71,0.33,5.17,1.27,0.08,0.07,1.85,546.34,377.19,396.5,421.03,3.27,24.12,14.63,1.85,1.09,25.96,36.63,40.6,4.94,2.79,0.01,2.59,0,0.02,0.18,2.15,6.48,4.56,3.44,1.59,1.94,0.57,16.15,6.56,0.36,2.37,7.35,2.78,2.13,0.65,15.13,1.51,2.46,0.64,1.76,0.81,0.47,7.08,1.5,0.46,12.1,0.97,0.75,0.38,0.24,1.03,0.75,0.66,F
787,17264,330.59,100.34,88.94,34.23,82.54,15.42,11.69,24.08,399.58,126.57,18.36,159.36,9.11,-0.55,0.21,-0.02,-1.73,0.02,0.13,0.48,0.09,0.29,0.27,0.43,0.26,1.49,0.46,5.37,1.21,0.08,0.08,1.91,553.83,369.95,397.56,420,3.36,22.45,11.95,1.77,1.05,34.16,33,41.88,4.64,2.37,0.04,1.98,0.11,0,0.23,2.28,6.6,4.56,3.34,2.08,1.84,0.43,17.62,5.52,0.35,2.8,7.75,3.78,3.06,0.71,13.66,1.62,2.1,0.5,1.52,0.68,0.45,6.55,0.97,0.54,15.84,1.37,1.14,0.33,0.14,1.05,0.69,0.27,N
275,3957,303.63,117.55,85.87,40.52,80.71,24.69,15.01,27.6,365.87,176.64,24.35,107.96,2.95,-0.13,-1.14,-0.05,-2.08,0.16,0.08,0.37,0.06,0.13,0.11,0.6,0.36,0.36,1.2,3.46,0.98,0.09,0.06,2.16,568.69,377.74,406.77,430.67,3.98,14.39,8.77,1.64,0.96,53.91,28.09,47.09,10.69,6.83,0.89,4.09,0.91,0.03,0.91,3.86,5.28,8.08,4.95,1.98,4.9,0.89,14.15,6.3,1.02,3.1,3.38,4.29,3.71,0.53,15.52,1.32,1.88,0.89,1.47,1.04,0.91,6.99,1.55,1.45,17.37,0.75,1.89,0.75,0.39,0.6,1.53,0.29,N
277,7098,352.18,103.32,97.26,21.67,90.12,20.76,8.83,23.82,398.96,141.24,12.41,140.03,7.53,-0.24,0.51,-0.04,-2.18,-0.44,0.14,0.59,0.09,0.31,0.33,0.5,0.33,2.09,0.42,5.27,1.22,0.09,0.08,1.9,556.42,379.86,396.26,415.44,3.35,26.66,17.03,1.91,1.11,18.06,39.01,39.8,3.67,0.2,0.03,0.03,0,0.01,0.13,3.47,7.4,4.84,3.49,1.26,2.67,0.41,15.83,6.24,0.52,2.78,5.86,3.4,2.5,0.89,15.2,2.32,3.36,0.47,1.36,0.68,0.76,5.89,0.95,0.62,13.84,0.95,1.12,0.25,0.19,1.2,0.71,0.47,F
308,6988,342.75,104.18,100.02,32.03,85.46,18.54,10.56,22.45,397.76,148.97,17.2,139.78,5.62,-0.67,0.31,0.09,-2.15,-0.35,0.14,0.53,0.08,0.31,0.34,0.51,0.34,1.95,0.5,4.82,1.2,0.09,0.08,1.91,555.61,375.93,391.88,407.49,3.44,22.32,11.89,1.86,1.06,27.21,37.3,40.96,5.22,1.68,0.03,1.51,0.06,0,0.09,3.54,6.86,4.98,3.56,1.13,2.39,0.9,16.16,6.14,0.59,3,5.09,4.32,2.8,1.52,16.91,1.95,3.66,0.93,1.86,0.75,0.98,6.5,1.39,0.54,13.21,1.3,1.18,0.46,0.57,1.58,1.31,0.45,F
303,5609,330.92,94.29,81.86,27.31,79.22,18.34,10.99,28.16,413.5,131.96,15.04,152.35,12.58,-0.74,0.26,-0.09,-1.43,-0.36,0.12,0.48,0.08,0.27,0.33,0.47,0.29,1.76,0.38,5.13,1.21,0.11,0.1,1.91,556.98,372.79,390.86,410.12,3.34,20.44,10.03,1.81,1.09,33.02,35.29,41.34,2.98,0.14,0.02,0,0,0,0.13,2.83,8.05,5.22,3.82,2.33,2.01,0.32,17.2,5.04,0.54,2.39,10.9,3.34,2.39,0.93,13.16,1.69,2.99,0.77,1.56,0.93,0.56,4.63,0.97,0.3,14.58,1.66,0.84,0.2,0.37,1.51,0.74,0.53,N
211,4505,337.99,92.82,77.54,27.38,78.49,19.61,14.11,29.4,428.22,111.15,16.65,175.48,9.64,-0.47,0.24,-0.27,-1.25,-0.18,0.12,0.46,0.07,0.28,0.32,0.49,0.31,1.55,0.32,5.38,1.17,0.11,0.11,1.89,557.02,384.11,402.73,416.14,3.18,21.29,9.81,1.82,1.08,31.14,36.3,40.89,2.41,0.04,0,0,0,0,0.04,2.37,7.6,4.36,3.28,2.33,1.64,0.18,17.92,5.03,0.42,2.1,11.83,3.23,2.39,0.82,12.8,1.71,2.9,0.38,1.17,0.64,0.49,5.2,0.89,0.38,14,1.46,0.99,0.02,0.17,0.82,0.32,0.27,N
