Affect Ratio,Imagery   ,Pleasantness,Average Sentence Length,Average Word Length,Content Word Diversity,Function Word Diversity,Lexical Diversity,Emotiveness,Group References,Other References,Passive Verb Ratio,Modifier Quantity,Sentence Quantity,Verb Quantity,Word Quantity,Sensory Ratio,Spatio-temporal ratio,Modal Verb Ratio,class
0.03,390.00,0.03,27.68,1.90,0.47,8.98,0.32,0.30,0.00,0.31,0.06,1653.00,561.00,1162.00,12528.00,0.01,0.13,0.22,N
0.03,390.00,0.02,27.00,1.86,0.50,8.88,0.31,0.31,0.45,0.33,0.07,1615.00,588.00,1103.00,12195.00,0.01,0.12,0.27,F
0.03,388.00,0.02,25.80,1.82,0.50,9.17,0.30,0.29,0.53,0.32,0.08,1990.00,782.00,1506.00,16282.00,0.00,0.12,0.36,F
0.02,395.00,0.02,27.00,1.85,0.46,9.71,0.29,0.28,0.42,0.30,0.08,2302.00,854.00,1873.00,19083.00,0.00,0.15,0.24,F
0.03,389.00,0.02,31.00,1.86,0.46,11.48,0.29,0.28,0.33,0.32,0.07,5650.00,1799.00,4585.00,47300.00,0.00,0.14,0.22,F
0.03,393.00,0.02,27.00,1.88,0.46,9.46,0.29,0.62,0.00,0.34,0.06,2390.00,864.00,2088.00,20241.00,0.00,0.14,0.17,N
0.04,392.00,0.03,27.00,1.89,0.45,10.07,0.29,0.27,0.00,0.40,0.07,5275.00,1816.00,4462.00,43365.00,0.01,0.13,0.22,N
0.03,391.00,0.03,30.00,1.97,0.45,10.33,0.31,0.27,0.00,0.36,0.07,1769.00,560.00,1349.00,14421.00,0.00,0.11,0.15,F
0.04,388.00,0.02,29.00,1.93,0.44,10.77,0.29,0.29,0.00,0.39,0.09,2284.00,702.00,1721.00,18116.00,0.00,0.11,0.20,F
0.04,396.00,0.03,32.00,1.88,0.47,10.27,0.30,0.27,0.00,0.28,0.10,1932.00,625.00,1549.00,15804.00,0.00,0.12,0.20,N
0.04,394.00,0.03,33.00,1.88,0.44,10.83,0.28,0.28,0.00,0.31,0.08,2259.00,699.00,1805.00,18316.00,0.00,0.12,0.18,N
0.04,392.00,0.03,35.40,1.81,0.45,11.73,0.27,0.29,0.40,0.32,0.12,2239.00,709.00,1771.00,18566.00,0.00,1.17,0.29,F
0.04,391.00,0.03,36.09,1.78,0.42,13.06,0.26,0.28,0.30,0.28,0.11,3840.00,1054.00,3129.00,30428.00,0.00,0.12,0.26,F
0.04,389.00,0.03,30.41,1.84,0.50,10.95,0.32,0.28,0.46,0.33,0.07,1640.00,553.00,1229.00,13558.00,0.00,0.12,0.30,F
0.04,391.00,0.04,30.92,1.83,0.46,9.78,0.28,0.28,0.36,0.29,0.08,2640.00,971.00,2006.00,21626.00,0.00,0.12,0.26,F
0.03,419.00,0.02,30.00,1.68,0.63,7.26,0.39,0.26,0.30,0.45,0.13,146.00,88.00,132.00,1373.00,0.00,0.16,0.14,N
0.03,406.00,0.03,32.00,1.69,0.61,7.01,0.38,0.25,0.16,0.49,0.11,136.00,81.00,119.00,1276.00,0.00,0.14,0.10,N
0.04,429.00,0.03,30.00,1.70,0.72,6.09,0.50,0.14,0.00,0.32,0.13,31.00,32.00,38.00,470.00,0.00,0.00,0.29,F
0.05,410.00,0.05,22.00,1.75,0.61,6.42,0.41,0.29,0.01,0.35,0.06,377.00,185.00,283.00,2852.00,0.01,0.16,0.14,F
0.02,406.00,0.01,29.00,1.83,0.46,10.26,0.30,0.26,0.00,0.37,0.09,1275.00,495.00,1124.00,12909.00,0.00,1.32,0.15,N
0.03,403.00,0.02,29.00,1.84,0.45,10.14,0.29,0.26,0.00,0.31,0.05,1971.00,644.00,1687.00,16540.00,0.01,0.12,0.12,N
0.03,411.00,0.02,28.00,1.83,0.47,7.39,0.32,0.27,0.00,0.33,0.06,983.00,383.00,730.00,7773.00,0.01,0.10,0.10,F
0.04,405.00,0.03,26.00,1.86,0.47,8.08,0.32,0.27,0.01,0.65,0.15,1351.00,534.00,534.00,10765.00,0.01,0.11,0.47,F
0.04,374.00,0.03,35.00,1.80,0.43,13.01,0.27,0.33,0.46,0.37,0.14,2778.00,790.00,2115.00,21303.00,0.00,0.09,0.56,F
0.03,396.00,0.02,33.00,1.82,0.40,10.52,0.26,0.26,0.01,0.43,0.08,5177.00,1717.00,4314.00,43244.00,0.00,0.13,0.28,F
0.04,405.00,0.03,27.00,1.84,0.47,7.89,0.30,0.29,0.07,0.31,0.05,3357.00,1361.00,2660.00,26241.00,0.00,0.14,0.15,N
0.04,406.00,0.03,28.00,1.85,0.47,7.68,0.31,0.28,0.02,0.28,0.05,3522.00,1419.00,2781.00,27389.00,0.00,0.14,0.14,N
0.03,402.00,0.02,29.00,1.86,0.44,10.38,0.29,0.29,0.26,0.32,0.07,3643.00,1160.00,2612.00,28654.00,0.00,0.13,0.16,F
0.03,396.00,0.02,32.00,1.85,0.45,9.72,0.29,0.29,0.27,0.24,0.07,4051.00,1262.00,2946.00,30005.00,0.00,0.12,0.14,F
0.04,397.00,0.03,27.00,1.77,0.43,9.54,0.26,0.29,0.20,0.28,0.03,2130.00,787.00,1734.00,17264.00,0.01,0.16,0.12,N
0.04,406.00,0.04,19.00,1.64,0.60,6.74,0.36,0.30,0.35,0.56,0.02,500.00,275.00,465.00,3957.00,0.01,0.17,0.22,N
0.03,396.00,0.02,33.00,1.91,0.50,10.17,0.33,0.25,0.00,0.34,0.04,820.00,277.00,758.00,7098.00,0.01,0.14,0.11,F
0.04,391.00,0.03,33.00,1.86,0.51,9.27,0.34,0.28,0.14,0.34,0.04,884.00,308.00,751.00,6998.00,0.01,0.13,0.22,F
0.03,398.00,0.02,30.00,1.81,0.47,7.61,0.29,0.25,0.00,0.32,0.06,597.00,303.00,526.00,5609.00,0.00,0.14,0.14,F
0.03,402.00,0.02,33.00,1.82,0.49,8.75,0.31,0.24,0.00,0.21,0.02,470.00,211.00,409.00,4505.00,0.00,0.11,0.06,F
0.03,394.00,0.02,30.91,1.89,0.46,10.45,0.30,0.28,0.00,0.27,0.09,1767.00,559.00,1503.00,14066.00,0.00,0.12,0.24,N
0.03,392.00,0.02,30.43,1.91,0.45,0.41,0.29,0.28,0.00,0.28,0.09,1602.00,498.00,1318.00,12758.00,0.00,0.11,0.25,N
0.03,390.00,0.03,30.01,1.90,0.45,11.00,0.29,0.30,0.00,0.31,0.08,1601.00,501.00,1249.00,12604.00,0.00,0.13,0.23,F
0.80,388.00,0.66,30.42,1.89,0.44,11.05,0.28,0.28,0.00,7.63,2.24,57.00,149.00,49.00,480.00,0.06,2.95,5.98,F
0.04,407.00,0.02,36.00,1.88,0.49,11.01,0.32,0.29,0.00,0.32,0.08,970.00,277.00,666.00,7456.00,0.00,0.12,0.18,N
0.04,407.00,0.02,35.00,1.89,0.45,11.64,0.30,0.30,0.00,0.29,0.07,1290.00,335.00,882.00,9614.00,0.00,0.13,0.15,N
0.03,404.00,0.03,35.00,1.83,0.44,11.50,0.28,0.23,0.00,0.29,0.05,1260.00,420.00,1026.00,11764.00,0.00,0.14,0.09,F
0.03,403.00,0.02,30.00,1.92,0.52,11.26,0.35,0.23,0.00,0.41,0.09,747.00,248.00,541.00,6796.00,0.00,0.11,0.11,F
0.05,402.00,0.04,24.00,1.73,0.50,6.97,0.32,0.26,0.05,0.29,0.08,1567.00,805.00,1326.00,13456.00,0.00,0.14,0.12,F
0.06,398.00,0.04,22.00,1.73,0.50,7.08,0.33,0.28,0.08,0.35,0.07,2425.00,1161.00,1970.00,19452.00,0.00,0.14,0.13,F
0.05,408.00,0.04,27.00,1.80,0.54,6.65,0.36,0.24,0.17,0.24,0.04,1268.00,640.00,1078.00,10965.00,0.00,0.16,0.07,N
